,yardline_100,down,goal_to_go,yards_gained,play_type,success,epa,n_defense_box,n_blitzers
351,24.0,2.0,0,24.0,run,1.0,3.1810892,6,0
357,1.0,2.0,1,1.0,run,1.0,0.99131626,8,0
359,60.0,2.0,0,2.0,run,0.0,-0.24077147,6,0
362,24.0,1.0,0,6.0,run,1.0,0.56842464,6,0
363,18.0,2.0,0,9.0,run,1.0,0.39135614,6,0
365,9.0,2.0,1,1.0,run,0.0,-0.4431482,7,0
371,74.0,2.0,0,3.0,run,0.0,-0.3409743,6,0
373,61.0,1.0,0,5.0,run,1.0,0.11856412,6,0
374,56.0,2.0,0,3.0,run,0.0,-0.22200705,7,0
376,52.0,4.0,0,2.0,run,1.0,2.3804035,7,0
377,50.0,1.0,0,15.0,run,1.0,0.9644595,6,0
378,35.0,1.0,0,20.0,run,1.0,1.3584111,8,0
379,15.0,1.0,0,4.0,run,0.0,-0.21937299,7,0
381,16.0,2.0,0,0.0,run,0.0,-0.6985148,7,0
384,82.0,1.0,0,4.0,run,0.0,-0.28016463,7,0
386,72.0,1.0,0,4.0,run,0.0,-0.01287723,7,0
390,67.0,1.0,0,1.0,run,0.0,-0.5202751,7,0
395,75.0,1.0,0,7.0,run,1.0,0.3785085,7,0
396,68.0,2.0,0,1.0,run,0.0,-0.546422,7,0
398,64.0,1.0,0,0.0,run,1.0,1.6430407,7,0
400,36.0,2.0,0,3.0,run,0.0,-0.401591,6,0
401,33.0,3.0,0,9.0,run,1.0,1.7642471,6,0
403,12.0,1.0,0,5.0,run,1.0,0.12391275,6,0
405,7.0,3.0,0,7.0,run,1.0,2.6207387,7,0
406,75.0,1.0,0,2.0,run,0.0,-0.46763426,7,0
407,73.0,2.0,0,4.0,run,0.0,-0.113777176,7,0
409,50.0,1.0,0,16.0,run,1.0,0.94384867,8,0
410,34.0,1.0,0,9.0,run,1.0,0.77341783,7,0
411,25.0,2.0,0,2.0,run,1.0,0.046978742,8,0
412,23.0,1.0,0,4.0,run,0.0,-0.21821187,7,0
413,19.0,2.0,0,2.0,run,0.0,-0.18760292,8,0
414,17.0,3.0,0,-1.0,run,0.0,-1.3297582,7,0
